timestep,HoeffdingTreeClassifier,GaussianNB,Perceptron
78,0.8461538461538461,0.8461538461538461,0.8205128205128205
79,0.8481012658227848,0.8481012658227848,0.8227848101265823
80,0.85,0.85,0.8125
81,0.8518518518518519,0.8518518518518519,0.8148148148148148
82,0.8536585365853658,0.8536585365853658,0.8170731707317073
83,0.8554216867469879,0.8554216867469879,0.8192771084337349
84,0.8571428571428571,0.8571428571428571,0.8214285714285714
85,0.8588235294117647,0.8588235294117647,0.8235294117647058
86,0.8604651162790697,0.8604651162790697,0.8255813953488372
87,0.8620689655172413,0.8620689655172413,0.8275862068965517
88,0.8636363636363636,0.8636363636363636,0.8295454545454546
89,0.8651685393258427,0.8651685393258427,0.8314606741573034
90,0.8666666666666667,0.8666666666666667,0.8333333333333334
91,0.8681318681318682,0.8681318681318682,0.8351648351648352
92,0.8695652173913043,0.8695652173913043,0.8369565217391305
93,0.8602150537634409,0.8602150537634409,0.8387096774193549
94,0.8617021276595744,0.8617021276595744,0.8404255319148937
95,0.8631578947368421,0.8631578947368421,0.8421052631578947
96,0.8645833333333334,0.8645833333333334,0.84375
97,0.865979381443299,0.865979381443299,0.845360824742268
98,0.8673469387755102,0.8673469387755102,0.8469387755102041
99,0.8686868686868687,0.8686868686868687,0.8484848484848485
100,0.87,0.87,0.85
101,0.8712871287128713,0.8712871287128713,0.8514851485148515
102,0.8627450980392157,0.8627450980392157,0.8529411764705882
103,0.8640776699029126,0.8640776699029126,0.8543689320388349
104,0.8653846153846154,0.8653846153846154,0.8557692307692307
105,0.8666666666666667,0.8666666666666667,0.8571428571428571
106,0.8679245283018868,0.8679245283018868,0.8584905660377359
107,0.8691588785046729,0.8691588785046729,0.8598130841121495
108,0.8703703703703703,0.8703703703703703,0.8611111111111112
109,0.8623853211009175,0.8623853211009175,0.8623853211009175
110,0.8636363636363636,0.8636363636363636,0.8636363636363636
111,0.8648648648648649,0.8648648648648649,0.8648648648648649
112,0.8660714285714286,0.8660714285714286,0.8660714285714286
113,0.8672566371681416,0.8672566371681416,0.8672566371681416
114,0.868421052631579,0.868421052631579,0.868421052631579
115,0.8695652173913043,0.8695652173913043,0.8695652173913043
116,0.8706896551724138,0.8706896551724138,0.8706896551724138
117,0.8717948717948718,0.8717948717948718,0.8717948717948718
118,0.8728813559322034,0.8728813559322034,0.8728813559322034
119,0.8739495798319328,0.8739495798319328,0.8739495798319328
120,0.875,0.875,0.875
121,0.8760330578512396,0.8760330578512396,0.8760330578512396
122,0.8770491803278688,0.8770491803278688,0.8770491803278688
123,0.8780487804878049,0.8780487804878049,0.8780487804878049
124,0.8790322580645161,0.8790322580645161,0.8790322580645161
125,0.88,0.88,0.88
126,0.873015873015873,0.873015873015873,0.8809523809523809
127,0.8740157480314961,0.8740157480314961,0.8818897637795275
128,0.875,0.875,0.8828125
129,0.875968992248062,0.875968992248062,0.8837209302325582
130,0.8769230769230769,0.8769230769230769,0.8846153846153846
131,0.8778625954198473,0.8778625954198473,0.8854961832061069
132,0.8787878787878788,0.8787878787878788,0.8863636363636364
133,0.8796992481203008,0.8796992481203008,0.8872180451127819
134,0.8805970149253731,0.8805970149253731,0.8880597014925373
135,0.8814814814814815,0.8814814814814815,0.8888888888888888
136,0.8823529411764706,0.8823529411764706,0.8897058823529411
137,0.8832116788321168,0.8832116788321168,0.8905109489051095
138,0.8840579710144928,0.8840579710144928,0.8913043478260869
139,0.8848920863309353,0.8848920863309353,0.8920863309352518
